Julia Voth
Sammi Hanratty
Mélanie Laurent
Seychelle Gabriel
Cristina Rodlo
Monica Bellucci
Hailee Steinfeld
Louise Cliffe
Kate Beckinsale
Lyndsy Fonseca
Ashley Newbrough
Peyton List
Beau Dunn
Kaya Scodelario
Phoebe Tonkin
Sarah Elizabeth Johnston
Rachel Hurd-Wood
Allison Williams
Olivia Wilde
Sara Paxton
Kacey Barnfield
Alexandria DeBerry
Scottie Thompson
Kristin Kreuk
Jane Levy
Rhona Mitra
Jaimie Alexander
Mila Kunis
Emma Stone
Rosie Huntington-Whiteley
Rachael Taylor
Léa Seydoux
Ryan Newman
Mini Anden
AnnaSophia Robb
Haley Ramm
Kate Bosworth
Astrid Bergès-Frisbey
Jennifer Garner
Kelli Barrett
Charlize Theron
Marion Cotillard
Grace Phipps
Adelaide Kane
Ashley Wood
Rachael Leigh Cook
Genevieve Padalecki
Angelina Jolie
Carlie Casey
McKenna Knipe
Mary Elizabeth Winstead
Tamsin Egerton
Lily Collins
Kalia Prescott
Elsa Pataky
Dominique DuVernay
Bella Heathcote
Heather Fogarty
Kelly Brook
Katie Parker
Gal Gadot
Jessica Stroup
Alexandra Daddario
Willa Holland
Jessica Lowndes
Chloe Bridges
Amanda Seyfried
Danielle Campbell
Shelley Hennig
Elizabeth Olsen
Emma Roberts
Natalia Dyer
Laura Marano
Sami Gayle
Elle Fanning
Sarah Lancaster
Adrianne Palicki
April Bowlby
Marlene Mc'Cohen
Caroline Fauvet
Serinda Swan
Janet Montgomery
Kate Mara
Alexa Davalos
Rachelle Lefevre
Gemma Arterton
Nicole Kidman
Jocelin Donahue
Jessica Alba
Skyler Samuels
Taylor Cole
Camilla Belle
Sandra Bullock
Erika Schaefer
Laurie Holden
Skyler Day
Miranda Cosgrove
Alexis Knapp
Crystal Reed
Scarlett Johansson
Tory Taranova
Selena Gomez
Kelly Vitz
Amber Heard
Paula Patton
Tanja Reichert
Haley Bennett
India Eisley
Briana Evigan
Carla Gugino
Sienna Guillory
Julie Fine
Ashley Greene
Ophelia Lovibond
Bella Thorne
Anna Kendrick
Abbie Cornish
Emma Bell
Odette Annable
Natalie Portman
Nina Dobrev
Chloë Grace Moretz
Dakota Fanning
Ivana Lotito
Vanessa Marano
Daveigh Chase
Rachel Weisz
Bryce Dallas Howard
Marie Avgeropoulos
Anne Hathaway
Rose Byrne
Jessica Biel
Julianne Moore
Gwyneth Paltrow
Rachel Nichols
Alexis Bledel
Neve Campbell
Gemma Ward
Evangeline Lilly
Christina Hendricks
Summer Glau
Sarah Hyland
Adelaide Clemens
Heather Graham
Claire Forlani
Morena Baccarin
Sienna Miller
Amy Smart
Katie Holmes
Nicola Peltz
Leslie Camila-Rose
Jordana Brewster
Lucy Hale
Arielle Kebbel
Shannyn Sossamon
Alice Braga
Diora Baird
Lake Bell
Radha Mitchell
Kirsten Prout
Tania Raymonde
Kiele Sanchez
Amanda Righetti
Mylène Jampanoï
Krysten Ritter
Laura Ramsey
Isabel Lucas
Stephanie Honoré
Ashley Rickards
Hazel D'Jan
Natalie Martinez
Eva Green
Nicole Gale Anderson
Daisy Betts
Shauna Macdonald
Nora-Jane Noone
MyAnna Buring
Anna Skellern
Karina Testa
Aly Michalka
Amy Adams
Emmy Clarke
Hilary Duff
Jaime King
Kate Hudson
Kay Panabaker
Nicole Paggi
Rachel Blanchard
Mia Wasikowska
Nadia Bjorlin
Portia Doubleday
Vanessa Hudgens
Imogen Poots
Anessa Ramsey
Ariana Grande
Emily Browning
Leelee Sobieski
Kelly Reilly
Raquel Alessi
Selma Blair
Alicja Bachleda
Kristanna Loken
Emmy Rossum
Mia Kirshner
Elizabeth Rice
Jennifer Missoni
Veronica Taylor
Jessica Lu
Lauren German
Cassie Scerbo
Kirsten Dunst
Bijou Phillips
Daniella Alonso
Shawnee Smith
Kristen Stewart
Olga Kurylenko
Amanda Peet
Ashley Judd
Elena Satine
Olivia Munn
Natasha Henstridge
Mira Sorvino
Sarah Roemer
Delphine Chanéac
Giselle Itié
Bella Dayne
Grace Holley
Alexandra Breckenridge
Jaime Ray Newman
Napakpapha Nakprasitte
Rachel Maxwell
Sarah Habel
Zoey Deutch
Tyne Stecklein
Cherami Leigh
Nicole Taylor
Sharlene Rochard
Luisa Moraes
Ivana Baquero
Haruka Abe
Julie Ordon
Eloise Mumford
Jessica Stam
Roxane Mesquida
Kristen Connolly
Sasha Pieterse
Rachel Skarsten
Brooklyn Sudano
Jasmine Waltz
Hannah Marks
