#idim1(1) idim2(2) catim1(3) catim2(4) crap(5) crap(6) labpair[0,1](7) islearn[0,1](8)
148 150 0 0 0 0 1 0 
148 152 0 0 0 0 1 0 
148 155 0 0 0 0 1 0 
148 157 0 0 0 0 1 0 
148 159 0 0 0 0 1 0 
148 161 0 0 0 0 1 0 
148 162 0 0 0 0 1 0 
148 164 0 0 0 0 1 0 
150 152 0 0 0 0 1 0 
150 155 0 0 0 0 1 0 
150 157 0 0 0 0 1 0 
150 159 0 0 0 0 1 0 
150 161 0 0 0 0 1 0 
150 162 0 0 0 0 1 0 
150 164 0 0 0 0 1 0 
152 155 0 0 0 0 1 0 
152 157 0 0 0 0 1 0 
152 159 0 0 0 0 1 0 
152 161 0 0 0 0 1 0 
152 162 0 0 0 0 1 0 
152 164 0 0 0 0 1 0 
155 157 0 0 0 0 1 0 
155 159 0 0 0 0 1 0 
155 161 0 0 0 0 1 0 
155 162 0 0 0 0 1 0 
155 164 0 0 0 0 1 0 
157 159 0 0 0 0 1 0 
157 161 0 0 0 0 1 0 
157 162 0 0 0 0 1 0 
157 164 0 0 0 0 1 0 
159 161 0 0 0 0 1 0 
159 162 0 0 0 0 1 0 
159 164 0 0 0 0 1 0 
161 162 0 0 0 0 1 0 
161 164 0 0 0 0 1 0 
162 164 0 0 0 0 1 0 
59 63 2 2 0 0 1 0 
59 65 2 2 0 0 1 0 
59 67 2 2 0 0 1 0 
59 69 2 2 0 0 1 0 
59 71 2 2 0 0 1 0 
59 73 2 2 0 0 1 0 
59 75 2 2 0 0 1 0 
59 77 2 2 0 0 1 0 
59 79 2 2 0 0 1 0 
59 184 2 2 0 0 1 0 
59 186 2 2 0 0 1 0 
59 188 2 2 0 0 1 0 
59 190 2 2 0 0 1 0 
59 192 2 2 0 0 1 0 
59 194 2 2 0 0 1 0 
59 196 2 2 0 0 1 0 
59 198 2 2 0 0 1 0 
59 200 2 2 0 0 1 0 
63 65 2 2 0 0 1 0 
63 67 2 2 0 0 1 0 
63 69 2 2 0 0 1 0 
63 71 2 2 0 0 1 0 
63 73 2 2 0 0 1 0 
63 75 2 2 0 0 1 0 
63 77 2 2 0 0 1 0 
63 79 2 2 0 0 1 0 
63 184 2 2 0 0 1 0 
63 186 2 2 0 0 1 0 
63 188 2 2 0 0 1 0 
63 190 2 2 0 0 1 0 
63 192 2 2 0 0 1 0 
63 194 2 2 0 0 1 0 
63 196 2 2 0 0 1 0 
63 198 2 2 0 0 1 0 
63 200 2 2 0 0 1 0 
65 67 2 2 0 0 1 0 
65 69 2 2 0 0 1 0 
65 71 2 2 0 0 1 0 
65 73 2 2 0 0 1 0 
65 75 2 2 0 0 1 0 
65 77 2 2 0 0 1 0 
65 79 2 2 0 0 1 0 
65 184 2 2 0 0 1 0 
65 186 2 2 0 0 1 0 
65 188 2 2 0 0 1 0 
65 190 2 2 0 0 1 0 
65 192 2 2 0 0 1 0 
65 194 2 2 0 0 1 0 
65 196 2 2 0 0 1 0 
65 198 2 2 0 0 1 0 
65 200 2 2 0 0 1 0 
67 69 2 2 0 0 1 0 
67 71 2 2 0 0 1 0 
67 73 2 2 0 0 1 0 
67 75 2 2 0 0 1 0 
67 77 2 2 0 0 1 0 
67 79 2 2 0 0 1 0 
67 184 2 2 0 0 1 0 
67 186 2 2 0 0 1 0 
67 188 2 2 0 0 1 0 
67 190 2 2 0 0 1 0 
67 192 2 2 0 0 1 0 
67 194 2 2 0 0 1 0 
67 196 2 2 0 0 1 0 
67 198 2 2 0 0 1 0 
67 200 2 2 0 0 1 0 
69 71 2 2 0 0 1 0 
69 73 2 2 0 0 1 0 
69 75 2 2 0 0 1 0 
69 77 2 2 0 0 1 0 
69 79 2 2 0 0 1 0 
69 184 2 2 0 0 1 0 
69 186 2 2 0 0 1 0 
69 188 2 2 0 0 1 0 
69 190 2 2 0 0 1 0 
69 192 2 2 0 0 1 0 
69 194 2 2 0 0 1 0 
69 196 2 2 0 0 1 0 
69 198 2 2 0 0 1 0 
69 200 2 2 0 0 1 0 
71 73 2 2 0 0 1 0 
71 75 2 2 0 0 1 0 
71 77 2 2 0 0 1 0 
71 79 2 2 0 0 1 0 
71 184 2 2 0 0 1 0 
71 186 2 2 0 0 1 0 
71 188 2 2 0 0 1 0 
71 190 2 2 0 0 1 0 
71 192 2 2 0 0 1 0 
71 194 2 2 0 0 1 0 
71 196 2 2 0 0 1 0 
71 198 2 2 0 0 1 0 
71 200 2 2 0 0 1 0 
73 75 2 2 0 0 1 0 
73 77 2 2 0 0 1 0 
73 79 2 2 0 0 1 0 
73 184 2 2 0 0 1 0 
73 186 2 2 0 0 1 0 
73 188 2 2 0 0 1 0 
73 190 2 2 0 0 1 0 
73 192 2 2 0 0 1 0 
73 194 2 2 0 0 1 0 
73 196 2 2 0 0 1 0 
73 198 2 2 0 0 1 0 
73 200 2 2 0 0 1 0 
75 77 2 2 0 0 1 0 
75 79 2 2 0 0 1 0 
75 184 2 2 0 0 1 0 
75 186 2 2 0 0 1 0 
75 188 2 2 0 0 1 0 
75 190 2 2 0 0 1 0 
75 192 2 2 0 0 1 0 
75 194 2 2 0 0 1 0 
75 196 2 2 0 0 1 0 
75 198 2 2 0 0 1 0 
75 200 2 2 0 0 1 0 
77 79 2 2 0 0 1 0 
77 184 2 2 0 0 1 0 
77 186 2 2 0 0 1 0 
77 188 2 2 0 0 1 0 
77 190 2 2 0 0 1 0 
77 192 2 2 0 0 1 0 
77 194 2 2 0 0 1 0 
77 196 2 2 0 0 1 0 
77 198 2 2 0 0 1 0 
77 200 2 2 0 0 1 0 
79 184 2 2 0 0 1 0 
79 186 2 2 0 0 1 0 
79 188 2 2 0 0 1 0 
79 190 2 2 0 0 1 0 
79 192 2 2 0 0 1 0 
79 194 2 2 0 0 1 0 
79 196 2 2 0 0 1 0 
79 198 2 2 0 0 1 0 
79 200 2 2 0 0 1 0 
184 186 2 2 0 0 1 0 
184 188 2 2 0 0 1 0 
184 190 2 2 0 0 1 0 
184 192 2 2 0 0 1 0 
184 194 2 2 0 0 1 0 
184 196 2 2 0 0 1 0 
184 198 2 2 0 0 1 0 
184 200 2 2 0 0 1 0 
186 188 2 2 0 0 1 0 
186 190 2 2 0 0 1 0 
186 192 2 2 0 0 1 0 
186 194 2 2 0 0 1 0 
186 196 2 2 0 0 1 0 
186 198 2 2 0 0 1 0 
186 200 2 2 0 0 1 0 
188 190 2 2 0 0 1 0 
188 192 2 2 0 0 1 0 
188 194 2 2 0 0 1 0 
188 196 2 2 0 0 1 0 
188 198 2 2 0 0 1 0 
188 200 2 2 0 0 1 0 
190 192 2 2 0 0 1 0 
190 194 2 2 0 0 1 0 
190 196 2 2 0 0 1 0 
190 198 2 2 0 0 1 0 
190 200 2 2 0 0 1 0 
192 194 2 2 0 0 1 0 
192 196 2 2 0 0 1 0 
192 198 2 2 0 0 1 0 
192 200 2 2 0 0 1 0 
194 196 2 2 0 0 1 0 
194 198 2 2 0 0 1 0 
194 200 2 2 0 0 1 0 
196 198 2 2 0 0 1 0 
196 200 2 2 0 0 1 0 
198 200 2 2 0 0 1 0 
58 62 3 3 0 0 1 0 
58 64 3 3 0 0 1 0 
58 66 3 3 0 0 1 0 
58 68 3 3 0 0 1 0 
58 70 3 3 0 0 1 0 
58 72 3 3 0 0 1 0 
58 74 3 3 0 0 1 0 
58 76 3 3 0 0 1 0 
58 78 3 3 0 0 1 0 
58 130 3 3 0 0 1 0 
58 132 3 3 0 0 1 0 
58 134 3 3 0 0 1 0 
58 135 3 3 0 0 1 0 
58 137 3 3 0 0 1 0 
58 139 3 3 0 0 1 0 
